date,month,year,country,customer_name,group_1,group_2,packaging,rm_size,soup,order_unit,order_cups,cups_per_unit,production
04,03,2024,.7-11,Seven ถ้วยดำ,E+Wonton,Cooked Wonton,145g*24,M,Regular,6221,149304,24.0,
12,03,2024,Korea,Consumer Package Commerce,R-Wonton egg past,Raw Wonton,630g*10inner,S,ซุปซอง 5g.,654,6540,10.0,
28,03,2024,AUS,CPF Australia Pty Ltd.,Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Regular,792,28512,36.0,
20,03,2024,Spain,Mercadona,Wonton ND+V,Cooked Wonton,309g*12,HC,Regular,2520,30240,12.0,
27,03,2024,Spain,Mercadona,Wonton ND+V,Cooked Wonton,309g*12,HC,Regular,2520,30240,12.0,
12,03,2024,UK,Westbridge Foods Limited,Wonton ND+V+TY,Cooked Wonton,307g*4c*6in,M,TYEX+CO,924,22176,24.0,
05,03,2024,Denmark,CPF DENMARK,Wonton ND+V+TY,Cooked Wonton,309g*8,M,TYANS+CM,3500,28000,8.0,
12,03,2024,Korea,Consumer Package Commerce,R-Wonton egg past,Raw Wonton,630g*10inner,S,ซุปซอง 5g.,853,8530,10.0,
11,03,2024,USA,"Bellisio Foods, Inc.",C-WT in tray no egg,Cooked Wonton,117*2tray*8in,M,Sesame 15g,650,10400,16.0,
11,03,2024,USA,"Bellisio Foods, Inc.",C-WT in tray no egg,Cooked Wonton,117*2tray*8in,M,Sesame 15g,600,9600,16.0,
19,03,2024,USA,"Bellisio Foods, Inc.",C-WT in tray no egg,Cooked Wonton,117*2tray*8in,M,Sesame 15g,650,10400,16.0,
19,03,2024,USA,"Bellisio Foods, Inc.",C-WT in tray no egg,Cooked Wonton,117*2tray*8in,M,Sesame 15g,600,9600,16.0,
19,03,2024,USA,"Bellisio Foods, Inc.",C-WT in tray no egg,Cooked Wonton,117*2tray*8in,M,Sesame 15g,600,9600,16.0,
25,03,2024,USA,"Bellisio Foods, Inc.",C-WT in tray no egg,Cooked Wonton,117*2tray*8in,M,Sesame 15g,650,10400,16.0,
02,04,2024,USA,"Bellisio Foods, Inc.",C-WT in tray no egg,Cooked Wonton,117*2tray*8in,M,Sesame 15g,650,10400,16.0,
03,04,2024,New Zealand,Lim Brothers,C-Minced WT in tray no egg,Cooked Wonton,117*2tray*8in,BK,Sesame 15g,378,6048,16.0,
14,03,2024,Korea,Consumer Package Commerce,R-Wonton egg past,Raw Wonton,630g*10inner,S,ซุปซอง 5g.,549,5490,10.0,
09,03,2024,USA,"Bellisio Foods, Inc.",R-Wonton no egg,Raw Wonton,580g*10in,S,ซุปซอง 5g.,250,2500,10.0,
19,03,2024,UK,Westbridge Foods Limited (One UK),Wonton,Cooked Wonton,148g*6c*6in,HC,Regular,1288,46368,36.0,
26,03,2024,UK,Westbridge Foods Limited (One UK),Wonton,Cooked Wonton,148g*6c*6in,HC,Regular,1288,46368,36.0,
